"Date","DAILY_AQI_VALUE","Site Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,17,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,15,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,20,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
